epoch,stage,duration_seconds,classifier_learning_rate,feature_learning_rate,train_accuracy,train_macro_f1,train_balanced_accuracy,train_roc_auc_ovr_macro,train_loss,validation_accuracy,validation_macro_f1,validation_balanced_accuracy,validation_roc_auc_ovr_macro,validation_loss
1,classifier,44.25,0.001,0.0,0.6672051696284329,0.6542292512302215,0.6590796856547704,0.9290565368945113,0.9785151363189463,0.7967741935483871,0.7952874858772218,0.7929340484266477,0.9641684538765336,0.6156049905284758
2,classifier,44.81,0.001,0.0,0.8917609046849758,0.8884776925599868,0.8884070196097955,0.9896617208912584,0.32437194096637656,0.8193548387096774,0.8182100865475436,0.8134856393991453,0.967442770811371,0.5646061893432371
3,classifier,47.06,0.001,0.0,0.9394184168012925,0.9375822432779923,0.9381774397621206,0.9963851918802084,0.18644229229991,0.8225806451612904,0.8203528698219665,0.8216431361320352,0.9750811904891685,0.5091766342040032
4,fine_tune,57.95,0.00035,0.0001,0.9232633279483037,0.9198679002119013,0.9198112474619269,0.9947172377612069,0.25830178437017276,0.7903225806451613,0.787868988604347,0.7870673832283454,0.9765873831635558,0.6403333367839936
5,fine_tune,54.37,0.00035,0.0001,0.968497576736672,0.9676030070612262,0.9679817189833125,0.9988235223760805,0.111132580022627,0.8161290322580645,0.8127648574000942,0.8172318032979459,0.9765392064769555,0.6544580078894092
6,fine_tune,54.61,0.00035,0.0001,0.9886914378029079,0.9882932785144524,0.9885330312178219,0.9997120441804235,0.05819450078083741,0.7903225806451613,0.7901133372938752,0.7868028941456323,0.9762209277265635,0.7277614562742172
7,fine_tune,54.11,0.00035,0.0001,0.9894991922455574,0.9888121571335919,0.9890029947103057,0.999825959135093,0.043751495807568555,0.8225806451612904,0.8205770096721221,0.8192566773857245,0.9761103590853454,0.6614496407970305
8,fine_tune,54.13,0.00035,0.0001,0.9967689822294022,0.9965428802693462,0.9966829466829468,0.9999874304621716,0.02242250007506526,0.8419354838709677,0.8392291812627052,0.8382987900679852,0.9739659535153924,0.6742884128324447
9,fine_tune,54.37,0.00035,0.0001,0.9991922455573505,0.999111035454554,0.9989795918367347,1.0,0.015188187905414232,0.8354838709677419,0.8335047359789078,0.8329442168480098,0.9771285305034156,0.6574405070274106
10,fine_tune,54.94,0.00035,0.0001,0.9967689822294022,0.9964474678760392,0.9964474678760392,0.9999860803740042,0.015545788025468443,0.8451612903225807,0.8406115304999047,0.8403460567082214,0.9760280756631773,0.6565888781701364
11,fine_tune,54.74,0.00035,0.0001,0.9983844911147012,0.998342359331942,0.9984882842025699,0.9999967002312271,0.009294604897643522,0.8548387096774194,0.8516856202182754,0.8495883074167071,0.9745345191803612,0.6811773453989337
12,fine_tune,56.23,0.00035,0.0001,0.9991922455573505,0.9992193074232986,0.9992150706436421,0.9999985200756516,0.007306405915600369,0.8354838709677419,0.8315291244782019,0.8314259283731994,0.9761677517533359,0.6600952940602456
