task_id,image,label,label_index,object_ids,leakage_group,annotator_count,split
18,images/1-2-20260408_193628.jpg,pot,4,M1,M1,3,validation
19,images/1-2-20260408_193652.jpg,pot,4,M1,M1,3,validation
20,images/1-20260408_154808.jpg,pot,4,M2,M2,3,train
21,images/1-20260408_154821.jpg,pot,4,M2,M2,3,train
22,images/1-20260408_193527.jpg,pot,4,M2,M2,3,train
23,images/1-20260408_193532.jpg,pot,4,M2,M2,3,train
24,images/1-20260409_093456.jpg,pot,4,M2,M2,3,train
25,images/1-20260409_093501.jpg,pot,4,M2,M2,3,train
26,images/1-20260413_203009.jpg,pot,4,M2,M2,3,train
27,images/10-11-12-20260411_155940.jpg,pot,4,M3,M3,3,test
28,images/10-11-12-20260411_155945.jpg,pot,4,M3,M3,3,test
29,images/10-11-12-20260411_160000.jpg,pot,4,M3,M3,3,test
30,images/10-12-13-20260411_160110.jpg,pot,4,M4,M4,3,validation
31,images/10-12-13-20260411_160117.jpg,pot,4,M4,M4,3,validation
32,images/10-12-13-20260411_160135.jpg,pot,4,M4,M4,3,validation
33,images/10-13-20260411_160021.jpg,pot,4,M5,M5,3,train
34,images/10-13-20260411_160027.jpg,pot,4,M5,M5,3,train
35,images/10-13-20260411_160035.jpg,pot,4,M5,M5,3,train
36,images/10-20260411_154459.jpg,pot,4,M2,M2,3,train
37,images/10-20260411_154505.jpg,pot,4,M2,M2,3,train
38,images/10-20260411_154516.jpg,pot,4,M2,M2,3,train
39,images/10-20260411_154623.jpg,pot,4,M2,M2,3,train
40,images/10-20260411_154626.jpg,pot,4,M2,M2,3,train
41,images/10-20260411_154632.jpg,pot,4,M2,M2,3,train
42,images/10-20260411_154759.jpg,pot,4,M2,M2,3,train
43,images/10-20260411_154807.jpg,pot,4,M2,M2,3,train
44,images/10-20260411_154823.jpg,pot,4,M2,M2,3,train
45,images/11-12-20260411_155917.jpg,pot,4,M6,M6,3,train
46,images/11-12-20260411_155920.jpg,pot,4,M6,M6,3,train
47,images/11-12-20260411_155930.jpg,pot,4,M6,M6,3,train
48,images/11-20260411_154917.jpg,pot,4,M7,M7,3,train
49,images/11-20260411_154937.jpg,pot,4,M7,M7,3,train
50,images/11-20260411_155016.jpg,pot,4,M7,M7,3,train
51,images/11-20260411_155020.jpg,pot,4,M7,M7,3,train
52,images/11-20260411_155024.jpg,pot,4,M7,M7,3,train
53,images/11-20260411_155030.jpg,pot,4,M7,M7,3,train
54,images/11-20260411_155051.jpg,pot,4,M7,M7,3,train
55,images/11-20260411_155055.jpg,pot,4,M7,M7,3,train
56,images/11-20260411_155107.jpg,pot,4,M7,M7,3,train
57,images/12-20260411_155138.jpg,pot,4,M7,M7,3,train
58,images/12-20260411_155143.jpg,pot,4,M7,M7,3,train
59,images/12-20260411_155152.jpg,pot,4,M7,M7,3,train
60,images/12-20260411_155211.jpg,pot,4,M7,M7,3,train
61,images/12-20260411_155215.jpg,pot,4,M7,M7,3,train
62,images/12-20260411_155221.jpg,pot,4,M7,M7,3,train
63,images/12-20260411_155243.jpg,pot,4,M7,M7,3,train
64,images/12-20260411_155250.jpg,pot,4,M7,M7,3,train
65,images/12-20260411_155303.jpg,pot,4,M7,M7,3,train
66,images/13-20260411_155606.jpg,pot,4,M8,M8,3,train
67,images/13-20260411_155624.jpg,pot,4,M8,M8,3,train
68,images/13-20260411_155649.jpg,pot,4,M8,M8,3,train
