epoch,stage,duration_seconds,classifier_learning_rate,feature_learning_rate,train_accuracy,train_macro_f1,train_balanced_accuracy,train_roc_auc_ovr_macro,train_loss,validation_accuracy,validation_macro_f1,validation_balanced_accuracy,validation_roc_auc_ovr_macro,validation_loss
1,classifier,50.01,0.05,0.0,0.5701960784313725,0.5663037519347341,0.5673804780247332,0.8302129226877372,27.70711748497159,0.6703296703296703,0.6624569676355391,0.6701283739302173,0.9180719638542569,6.621943406624235
2,classifier,47.72,0.05,0.0,0.7984313725490196,0.7922922155765767,0.7929520940106068,0.9671552558848899,3.3088695869258804,0.6666666666666666,0.6570718195299435,0.6688574354472971,0.9144771616413795,8.122284725035502
3,classifier,46.52,0.05,0.0,0.8541176470588235,0.8537257958015488,0.8542826138349066,0.9804894375715243,2.7217145914189955,0.6886446886446886,0.683739062898355,0.6834174530027065,0.9115116743937344,11.761705859676821
4,fine_tune,56.53,0.017499999999999998,0.0001,0.8698039215686274,0.8679107820303168,0.8675367553416586,0.9804897685851763,2.8175291649500527,0.7435897435897436,0.7387710289683632,0.7437769731548532,0.9150538570361648,9.149999077066834
5,fine_tune,55.88,0.017499999999999998,0.0001,0.9349019607843138,0.9338027652826941,0.9349179574050573,0.9955633479142063,0.6562088080773166,0.7362637362637363,0.7262456812847843,0.7283154121863799,0.9285641682578599,7.763395197662241
6,fine_tune,55.53,0.017499999999999998,0.0001,0.9529411764705882,0.9516479276348448,0.9518060504779798,0.9964091990358753,0.5891994848438338,0.7252747252747253,0.7164660512561529,0.721092092751079,0.9341123991502452,7.766127513005183
7,fine_tune,56.12,0.006124999999999999,3.5e-05,0.971764705882353,0.9710951591446092,0.9710966539683529,0.9987437209930988,0.2721031546246434,0.7289377289377289,0.7209887534804917,0.7279844195742813,0.94422541707496,6.6920109913026025
8,fine_tune,56.42,0.006124999999999999,3.5e-05,0.9772549019607844,0.9767616265453383,0.9765479849064739,0.9990809944060618,0.2154461906443569,0.7582417582417582,0.7522411895881284,0.7551953039280229,0.9437853604747797,6.314981673663352
9,fine_tune,55.84,0.006124999999999999,3.5e-05,0.984313725490196,0.9836061226696702,0.9834273273553029,0.9993486393906694,0.14489545750194321,0.7582417582417582,0.7543812620032132,0.7564022383146807,0.9423070043847076,6.423589636554648
10,fine_tune,56.26,0.006124999999999999,3.5e-05,0.9811764705882353,0.9805475472349979,0.98055057834538,0.9994009262457811,0.14071017512971165,0.7619047619047619,0.7589996181030817,0.7575597981127935,0.9425304170455288,5.7181351612775755
11,fine_tune,55.77,0.006124999999999999,3.5e-05,0.9921568627450981,0.9918558867918399,0.9915788404534265,0.9996652314286714,0.07783037257084895,0.7582417582417582,0.7539209579534271,0.7562321702874698,0.9444884443998917,5.6441313320900495
12,fine_tune,59.44,0.006124999999999999,3.5e-05,0.9913725490196078,0.9913360886631046,0.9918135408863604,0.9999340405132029,0.03707952030377426,0.7472527472527473,0.7396786837673942,0.7420671494404214,0.9469251956069787,5.5884315714294654
13,fine_tune,56.5,0.006124999999999999,3.5e-05,0.9874509803921568,0.9869475766368885,0.9874809224811855,0.9999120885272177,0.05679935201706779,0.7838827838827839,0.7730556420808614,0.7755540926047839,0.944050103468002,5.740361674801334
14,fine_tune,55.99,0.006124999999999999,3.5e-05,0.9921568627450981,0.9919011876881957,0.9915814325086344,0.9999493083683006,0.04498986135197436,0.7545787545787546,0.7470799139643768,0.7481731402238314,0.942123503905276,5.922817871247456
15,fine_tune,55.79,0.006124999999999999,3.5e-05,0.9945098039215686,0.9945409047443653,0.9945215948590537,0.9998687604290862,0.04037683776453538,0.7582417582417582,0.749452081745639,0.7524248409041036,0.9438657941440158,5.814423252811362
