epoch,stage,duration_seconds,classifier_learning_rate,feature_learning_rate,train_accuracy,train_macro_f1,train_balanced_accuracy,train_roc_auc_ovr_macro,train_loss,validation_accuracy,validation_macro_f1,validation_balanced_accuracy,validation_roc_auc_ovr_macro,validation_loss
1,classifier,42.36,0.001,0.0,0.6847058823529412,0.6821431464349413,0.6809899447338624,0.9300179043725885,0.9658926156455395,0.7435897435897436,0.7136670364002022,0.7292937605149586,0.9482752908672714,0.7447792830921355
2,classifier,18.04,0.001,0.0,0.9058823529411765,0.9049778079567794,0.9059551034968297,0.9916707588893531,0.2991160599156922,0.717948717948718,0.7071345211566673,0.7108386365298809,0.953293203566134,0.7472030692921453
3,classifier,19.12,0.001,0.0,0.9411764705882353,0.9400071639622519,0.9404613895537647,0.9971074031205872,0.17820068522995594,0.7472527472527473,0.7348741001350767,0.7369157340355498,0.9554902643077436,0.7655216180361234
4,fine_tune,22.97,0.00035,0.0001,0.9231372549019607,0.9207379501769587,0.9209305540978272,0.9956781780473847,0.24149441155732848,0.7435897435897436,0.7380205949735037,0.7382689634993783,0.9577057297838827,0.8449780775077177
5,fine_tune,22.52,0.00035,0.0001,0.9780392156862745,0.977148697527132,0.9779995546732191,0.9995109645169605,0.08359581956092049,0.7545787545787546,0.7408978342972314,0.7458891083315047,0.9598296974554646,0.8910236769106799
6,fine_tune,23.19,0.00035,0.0001,0.9796078431372549,0.9788062874813784,0.9789854974275488,0.9995438213580741,0.06433511142052856,0.73992673992674,0.725640600461036,0.731076731767976,0.9621689144475043,0.8920744592016869
7,fine_tune,23.97,0.00035,0.0001,0.9937254901960785,0.9933238335096208,0.9930825998519227,0.9998240227067298,0.03311391951625838,0.7765567765567766,0.7647248305155261,0.7678443420378904,0.9629568336407148,0.8122075494829115
8,fine_tune,20.61,0.00035,0.0001,0.9952941176470588,0.9951634253185941,0.9952743229361408,0.9999915089066622,0.019984326241355318,0.7582417582417582,0.7476714992994947,0.750837539316802,0.9637114242179982,0.8679156595970685
9,fine_tune,21.38,0.00035,0.0001,0.9929411764705882,0.9924359244703275,0.9923341605857215,0.9999611191861973,0.022012093390027684,0.7948717948717948,0.781565359564906,0.7851912808134005,0.9660410458286695,0.7472861522719974
10,fine_tune,23.13,0.00035,0.0001,0.9968627450980392,0.99666567876048,0.996781858627073,0.9999804587285901,0.015557398171912805,0.7765567765567766,0.7644914361353263,0.7678443420378904,0.965648265106997,0.7704563169252305
11,fine_tune,24.86,0.00035,0.0001,0.9968627450980392,0.996779927367616,0.9967746419015902,0.999994647791039,0.011117102068063675,0.7545787545787546,0.744988051371614,0.7480030721966207,0.9658418731624566,0.875090364134792
12,fine_tune,23.09,0.0001225,3.5e-05,0.996078431372549,0.9956843819181967,0.9953227362754558,0.9999742788835871,0.014529560012560264,0.7875457875457875,0.7761730563574363,0.7785586277521761,0.9650230293857239,0.8201169760235937
